algorithm n comparisons runtime
StdSorter              0            0 0.00000064
Bubblesort             0            0 0.00000006
Insertionsort          0            0 0.00000005
StdSorter              0            0 0.00000005
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000004
StdSorter              0            0 0.00000004
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000005
StdSorter              0            0 0.00000004
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000005
StdSorter              0            0 0.00000004
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000004
StdSorter              0            0 0.00000004
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000005
StdSorter              0            0 0.00000004
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000004
StdSorter              0            0 0.00000004
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000004
StdSorter              0            0 0.00000004
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000004
StdSorter              0            0 0.00000004
Bubblesort             0            0 0.00000004
Insertionsort          0            0 0.00000004
StdSorter              1            0 0.00000005
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000005
StdSorter              1            0 0.00000005
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000005
StdSorter              1            0 0.00000004
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000004
StdSorter              1            0 0.00000004
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000004
StdSorter              1            0 0.00000004
Bubblesort             1            0 0.00000005
Insertionsort          1            0 0.00000004
StdSorter              1            0 0.00000005
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000004
StdSorter              1            0 0.00000005
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000004
StdSorter              1            0 0.00000004
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000004
StdSorter              1            0 0.00000004
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000005
StdSorter              1            0 0.00000005
Bubblesort             1            0 0.00000004
Insertionsort          1            0 0.00000005
StdSorter              5            5 0.00000009
Bubblesort             5            8 0.00000016
Insertionsort          5            5 0.000000099
StdSorter              5           10  0.0000002
Bubblesort             5           20 0.00000036
Insertionsort          5           10  0.0000002
StdSorter              5            9 0.00000014
Bubblesort             5           16 0.00000027
Insertionsort          5            7 0.00000012
StdSorter              5            7 0.00000011
Bubblesort             5            8 0.00000016
Insertionsort          5            7 0.00000012
StdSorter              5            8 0.00000013
Bubblesort             5           12 0.00000023
Insertionsort          5            7 0.00000011
StdSorter              5           10 0.00000016
Bubblesort             5           16 0.00000028
Insertionsort          5           10 0.00000016
StdSorter              5            6 0.00000011
Bubblesort             5            8 0.00000014
Insertionsort          5            6  0.0000001
StdSorter              5            7 0.00000011
Bubblesort             5           12  0.0000002
Insertionsort          5            5  0.0000001
StdSorter              5            5 0.00000009
Bubblesort             5            8 0.00000011
Insertionsort          5            5  0.0000001
StdSorter              5            8 0.00000014
Bubblesort             5           16 0.00000028
Insertionsort          5            8 0.00000014
StdSorter            100          646 0.00000786
Bubblesort           100         7623 0.000080109
Insertionsort        100         2256 0.00002607
StdSorter            100          644 0.00000772
Bubblesort           100         9405 0.000098619
Insertionsort        100         2588 0.00002989
StdSorter            100          649 0.00000745
Bubblesort           100         9207 0.000096239
Insertionsort        100         2325 0.000026879
StdSorter            100          690 0.00000785
Bubblesort           100         8712 0.000091659
Insertionsort        100         2777 0.00003207
StdSorter            100          656 0.00001552
Bubblesort           100         9405 0.000099179
Insertionsort        100         2825 0.00002802
StdSorter            100          642 0.00000673
Bubblesort           100         8811 0.000063469
Insertionsort        100         2510 0.00001994
StdSorter            100          644 0.00000501
Bubblesort           100         8712 0.000062779
Insertionsort        100         2489 0.00001974
StdSorter            100          658 0.00000509
Bubblesort           100         9801 0.000070099
Insertionsort        100         2282 0.00001806
StdSorter            100          648   0.000005
Bubblesort           100         9405 0.000067629
Insertionsort        100         2484  0.0000197
StdSorter            100          642   0.000005
Bubblesort           100         8910 0.000064489
Insertionsort        100         2745 0.00002179
StdSorter           1000         9717 0.00007644
Bubblesort          1000       953046 0.005212896
Insertionsort       1000       245712 0.001456405
StdSorter           1000         9720 0.000055089
Bubblesort          1000       965034 0.005082717
Insertionsort       1000       254085 0.001501355
StdSorter           1000         9703 0.000054939
Bubblesort          1000       975024 0.005156586
Insertionsort       1000       248037 0.001456585
StdSorter           1000         9792 0.000055109
Bubblesort          1000       951048 0.005030368
Insertionsort       1000       241530 0.001425096
StdSorter           1000         9692 0.000054819
Bubblesort          1000       972027 0.005147646
Insertionsort       1000       252949 0.001487035
StdSorter           1000         9655 0.000055269
Bubblesort          1000       972027 0.005151556
Insertionsort       1000       254540 0.001494975
StdSorter           1000         9699 0.000061259
Bubblesort          1000       983016 0.005219056
Insertionsort       1000       252068 0.001479545
